label,value
Hokkaido,5224614
Tokyo,14047594
Kanagawa,9237337
Saitama,7344765
Chiba,6284480
Shizuoka,3633202
Aichi,7542415
Osaka,8837685
Hyogo,5465002
Hukuoka,5135214
